,Temp_C
2011-01-01,-1.582
2011-01-02,-0.8533819648093841
2011-01-03,-0.8277184750733138
2011-01-04,-0.8020549853372433
2011-01-05,-0.7763914956011729
2011-01-06,-0.7507280058651026
2011-01-07,-0.7250645161290322
2011-01-08,-0.6994010263929618
2011-01-09,-0.6737375366568914
2011-01-10,-0.648074046920821
2011-01-11,-0.6224105571847507
2011-01-12,-0.5967470674486803
2011-01-13,-0.57108357771261
2011-01-14,-0.5454200879765395
2011-01-15,-0.5197565982404692
2011-01-16,-0.49409310850439875
2011-01-17,-0.4684296187683284
2011-01-18,-0.44276612903225804
2011-01-19,-0.4171026392961876
2011-01-20,-0.39143914956011727
2011-01-21,-0.3657756598240469
2011-01-22,-0.34011217008797645
2011-01-23,-0.3144486803519061
2011-01-24,-0.28878519061583574
2011-01-25,-0.2631217008797654
2011-01-26,-0.23745821114369503
2011-01-27,-0.21179472140762456
2011-01-28,-0.1861312316715542
2011-01-29,-0.16046774193548385
2011-01-30,-0.1348042521994135
2011-01-31,-0.10914076246334303
2011-02-01,0.276
2011-02-02,0.03559272226529692
2011-02-03,0.1546627172578665
2011-02-04,0.27373271225043616
2011-02-05,0.39280270724300576
2011-02-06,0.5118727022355753
2011-02-07,0.630942697228145
2011-02-08,0.7500126922207145
2011-02-09,0.8690826872132842
2011-02-10,0.9881526822058538
2011-02-11,1.1072226771984233
2011-02-12,1.2262926721909928
2011-02-13,1.3453626671835626
2011-02-14,1.464432662176132
2011-02-15,1.5835026571687016
2011-02-16,1.7025726521612714
2011-02-17,1.821642647153841
2011-02-18,1.9407126421464105
2011-02-19,2.0597826371389805
2011-02-20,2.17885263213155
2011-02-21,2.2979226271241195
2011-02-22,2.4169926221166893
2011-02-23,2.5360626171092586
2011-02-24,2.6551326121018284
2011-02-25,2.774202607094398
2011-02-26,2.8932726020869675
2011-02-27,3.012342597079537
2011-02-28,3.131412592072107
2011-03-01,3.474
2011-03-02,2.5257619047619047
2011-03-03,2.680885007936508
2011-03-04,2.836008111111111
2011-03-05,2.9911312142857143
2011-03-06,3.1462543174603175
2011-03-07,3.3013774206349207
2011-03-08,3.456500523809524
2011-03-09,3.611623626984127
2011-03-10,3.7667467301587303
2011-03-11,3.9218698333333335
2011-03-12,4.076992936507937
2011-03-13,4.2321160396825395
2011-03-14,4.387239142857143
2011-03-15,4.542362246031747
2011-03-16,4.6974853492063495
2011-03-17,4.852608452380952
2011-03-18,5.007731555555556
2011-03-19,5.16285465873016
2011-03-20,5.317977761904762
2011-03-21,5.473100865079365
2011-03-22,5.628223968253969
2011-03-23,5.783347071428572
2011-03-24,5.938470174603175
2011-03-25,6.093593277777778
2011-03-26,6.248716380952382
2011-03-27,6.403839484126985
2011-03-28,6.558962587301588
2011-03-29,6.714085690476192
2011-03-30,6.869208793650794
2011-03-31,7.024331896825397
2011-04-01,7.382999999999999
2011-04-02,7.078952380952382
2011-04-03,7.23647231460412
2011-04-04,7.393992248255858
2011-04-05,7.551512181907596
2011-04-06,7.709032115559335
2011-04-07,7.866552049211073
2011-04-08,8.02407198286281
2011-04-09,8.18159191651455
2011-04-10,8.339111850166288
2011-04-11,8.496631783818026
2011-04-12,8.654151717469764
2011-04-13,8.811671651121504
2011-04-14,8.969191584773242
2011-04-15,9.12671151842498
2011-04-16,9.284231452076718
2011-04-17,9.441751385728455
2011-04-18,9.599271319380195
2011-04-19,9.756791253031933
